func	kind	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	CRS	float	10000	10000	0.00958933	0.168938
matvec(CRS)	CRS	float	20000	20000	0.000385337	8.40822
matvec(CRS)	CRS	float	30000	30000	0.000549568	8.84331
matvec(CRS)	CRS	float	40000	40000	0.000713557	9.08127
matvec(CRS)	CRS	float	50000	50000	0.000879931	9.20527
matvec(CRS)	CRS	float	60000	60000	0.00102895	9.44651
matvec(CRS)	CRS	float	70000	70000	0.00115592	9.81036
matvec(CRS)	CRS	float	80000	80000	0.00131427	9.86099
matvec(CRS)	CRS	float	90000	90000	0.00147435	9.88908
matvec(CRS)	CRS	float	100000	100000	0.00162598	9.9632
matvec(CRS)	CRS	double	10000	10000	0.000266959	6.06835
matvec(CRS)	CRS	double	20000	20000	0.000469925	6.89472
matvec(CRS)	CRS	double	30000	30000	0.000670416	7.24923
matvec(CRS)	CRS	double	40000	40000	0.000873459	7.41878
matvec(CRS)	CRS	double	50000	50000	0.0010774	7.51811
matvec(CRS)	CRS	double	60000	60000	0.00127668	7.61352
matvec(CRS)	CRS	double	70000	70000	0.0014774	7.67565
matvec(CRS)	CRS	double	80000	80000	0.00167941	7.71701
matvec(CRS)	CRS	double	90000	90000	0.00188467	7.73609
matvec(CRS)	CRS	double	100000	100000	0.00208001	7.78841
