func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_pow(Dense,Dense)	Dense	float	1000	1000	0.00288255	0.346915	2.77532
sm_pow(Dense,Dense)	Dense	float	2000	2000	0.00158794	2.51899	20.1519
sm_pow(Dense,Dense)	Dense	float	3000	3000	0.00351513	2.56036	20.4829
sm_pow(Dense,Dense)	Dense	float	4000	4000	0.00648993	2.46536	19.7229
sm_pow(Dense,Dense)	Dense	float	5000	5000	0.00989365	2.52687	20.215
sm_pow(Dense,Dense)	Dense	float	6000	6000	0.0143612	2.50676	20.0541
sm_pow(Dense,Dense)	Dense	float	7000	7000	0.019544	2.50716	20.0573
sm_pow(Dense,Dense)	Dense	float	8000	8000	0.0257996	2.48066	19.8453
sm_pow(Dense,Dense)	Dense	float	9000	9000	0.032841	2.46643	19.7314
sm_pow(Dense,Dense)	Dense	float	10000	10000	0.0404499	2.47219	19.7776
sm_pow(Dense,Dense)	Dense	double	1000	1000	0.000722622	1.38385	22.1416
sm_pow(Dense,Dense)	Dense	double	2000	2000	0.00316422	1.26413	20.2261
sm_pow(Dense,Dense)	Dense	double	3000	3000	0.00705454	1.27577	20.4124
sm_pow(Dense,Dense)	Dense	double	4000	4000	0.0124307	1.28713	20.5941
sm_pow(Dense,Dense)	Dense	double	5000	5000	0.0198202	1.26134	20.1815
sm_pow(Dense,Dense)	Dense	double	6000	6000	0.0296848	1.21274	19.4038
sm_pow(Dense,Dense)	Dense	double	7000	7000	0.0393508	1.24521	19.9234
sm_pow(Dense,Dense)	Dense	double	8000	8000	0.0513763	1.24571	19.9314
sm_pow(Dense,Dense)	Dense	double	9000	9000	0.0652211	1.24193	19.8709
sm_pow(Dense,Dense)	Dense	double	10000	10000	0.0799263	1.25115	20.0184
