func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_div	vector	float	1000	1.09662e-05	0.091189	1.09427
vv_div	vector	float	10000	1.0069e-05	0.993144	11.9177
vv_div	vector	float	100000	1.5029e-05	6.65382	79.8458
vv_div	vector	float	1000000	7.04805e-05	14.1883	170.26
vv_div	vector	float	10000000	0.00913828	1.0943	13.1316
vv_div	vector	float	100000000	0.0842925	1.18635	14.2361
vv_div	vector	double	1000	1.13487e-05	0.0881156	2.11477
vv_div	vector	double	10000	1.17306e-05	0.852474	20.4594
vv_div	vector	double	100000	2.1987e-05	4.54815	109.156
vv_div	vector	double	1000000	0.000131778	7.58853	182.125
vv_div	vector	double	10000000	0.010165	0.983764	23.6103
vv_div	vector	double	100000000	0.178206	0.561147	13.4675
