func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	CRS	float	10000	10000	0.000345162	2.34673	18.7738
mscal(CRS)	CRS	float	20000	20000	0.000577346	2.80594	22.4476
mscal(CRS)	CRS	float	30000	30000	0.000774282	3.13839	25.1071
mscal(CRS)	CRS	float	40000	40000	0.00100356	3.2285	25.828
mscal(CRS)	CRS	float	50000	50000	0.0011758	3.44447	27.5558
mscal(CRS)	CRS	float	60000	60000	0.00140735	3.45329	27.6263
mscal(CRS)	CRS	float	70000	70000	0.00140853	4.02547	32.2038
mscal(CRS)	CRS	float	80000	80000	0.00157708	4.10887	32.8709
mscal(CRS)	CRS	float	90000	90000	0.00163848	4.44926	35.5941
mscal(CRS)	CRS	float	100000	100000	0.0017249	4.69593	37.5674
mscal(CRS)	CRS	double	10000	10000	0.000425242	1.9048	30.4768
mscal(CRS)	CRS	double	20000	20000	0.000720071	2.24978	35.9965
mscal(CRS)	CRS	double	30000	30000	0.000995733	2.44041	39.0466
mscal(CRS)	CRS	double	40000	40000	0.00125995	2.57153	41.1444
mscal(CRS)	CRS	double	50000	50000	0.00153015	2.6468	42.3487
mscal(CRS)	CRS	double	60000	60000	0.00179594	2.70611	43.2978
mscal(CRS)	CRS	double	70000	70000	0.00207883	2.7275	43.64
mscal(CRS)	CRS	double	80000	80000	0.00234281	2.76591	44.2546
mscal(CRS)	CRS	double	90000	90000	0.00259201	2.81249	44.9999
mscal(CRS)	CRS	double	100000	100000	0.00289916	2.79391	44.7026
