func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sinh(CRS)	CRS	float	10000	10000	0.000311538	2.6
m_sinh(CRS)	CRS	float	20000	20000	0.000560755	2.88896
m_sinh(CRS)	CRS	float	30000	30000	0.000811478	2.99454
m_sinh(CRS)	CRS	float	40000	40000	0.001062	3.05084
m_sinh(CRS)	CRS	float	50000	50000	0.00131271	3.08522
m_sinh(CRS)	CRS	float	60000	60000	0.00126753	3.83422
m_sinh(CRS)	CRS	float	70000	70000	0.00142787	3.97095
m_sinh(CRS)	CRS	float	80000	80000	0.00154038	4.20675
m_sinh(CRS)	CRS	float	90000	90000	0.0017248	4.22657
m_sinh(CRS)	CRS	float	100000	100000	0.00191014	4.24053
m_sinh(CRS)	CRS	double	10000	10000	0.00160323	0.505231
m_sinh(CRS)	CRS	double	20000	20000	0.00314885	0.514473
m_sinh(CRS)	CRS	double	30000	30000	0.0046924	0.517858
m_sinh(CRS)	CRS	double	40000	40000	0.0062917	0.514964
m_sinh(CRS)	CRS	double	50000	50000	0.00787966	0.513982
m_sinh(CRS)	CRS	double	60000	60000	0.00947082	0.513155
m_sinh(CRS)	CRS	double	70000	70000	0.0110444	0.513383
m_sinh(CRS)	CRS	double	80000	80000	0.0125686	0.515572
m_sinh(CRS)	CRS	double	90000	90000	0.0141481	0.515262
m_sinh(CRS)	CRS	double	100000	100000	0.0156745	0.516763
