func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
ceil	vector	float	1000	5.96934e-05	0.0167523	0.134018
ceil	vector	float	10000	6.0408e-05	0.165541	1.32433
ceil	vector	float	100000	6.83857e-05	1.46229	11.6984
ceil	vector	float	1000000	0.000179911	5.5583	44.4664
ceil	vector	float	10000000	0.00126277	7.91911	63.3529
ceil	vector	float	100000000	0.00961155	10.4042	83.2332
ceil	vector	double	1000	3.16739e-05	0.0315717	0.505148
ceil	vector	double	10000	4.00938e-05	0.249415	3.99065
ceil	vector	double	100000	7.71873e-05	1.29555	20.7288
ceil	vector	double	1000000	0.000276672	3.61439	57.8303
ceil	vector	double	10000000	0.00170592	5.86195	93.7912
ceil	vector	double	100000000	0.0164454	6.08074	97.2919
