func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_asinh(Dense)	Dense	float	1000	1000	0.00120286	0.831351
m_asinh(Dense)	Dense	float	2000	2000	0.00195455	2.0465
m_asinh(Dense)	Dense	float	3000	3000	0.00506003	1.77865
m_asinh(Dense)	Dense	float	4000	4000	0.010824	1.4782
m_asinh(Dense)	Dense	float	5000	5000	0.012097	2.06663
m_asinh(Dense)	Dense	float	6000	6000	0.0201306	1.78832
m_asinh(Dense)	Dense	float	7000	7000	0.0274296	1.78639
m_asinh(Dense)	Dense	float	8000	8000	0.0239271	2.67479
m_asinh(Dense)	Dense	float	9000	9000	0.0359322	2.25424
m_asinh(Dense)	Dense	float	10000	10000	0.0396531	2.52187
m_asinh(Dense)	Dense	double	1000	1000	0.000589177	1.69728
m_asinh(Dense)	Dense	double	2000	2000	0.00417558	0.957952
m_asinh(Dense)	Dense	double	3000	3000	0.00948587	0.94878
m_asinh(Dense)	Dense	double	4000	4000	0.0203507	0.786212
m_asinh(Dense)	Dense	double	5000	5000	0.0218751	1.14285
m_asinh(Dense)	Dense	double	6000	6000	0.0307565	1.17049
m_asinh(Dense)	Dense	double	7000	7000	0.0450101	1.08864
m_asinh(Dense)	Dense	double	8000	8000	0.061076	1.04787
m_asinh(Dense)	Dense	double	9000	9000	0.0570615	1.41952
m_asinh(Dense)	Dense	double	10000	10000	0.0822311	1.21609
