func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	vector	float	1000	1.43866e-05	0.069509	0.278036
sum	vector	float	10000	1.26892e-05	0.78807	3.15228
sum	vector	float	100000	1.54768e-05	6.46128	25.8451
sum	vector	float	1000000	4.81604e-05	20.764	83.0558
sum	vector	float	10000000	0.000454852	21.9852	87.9406
sum	vector	float	100000000	0.0392467	2.54798	10.1919
sum	vector	double	1000	1.489e-05	0.0671592	0.537273
sum	vector	double	10000	1.3403e-05	0.7461	5.9688
sum	vector	double	100000	1.80684e-05	5.53451	44.2761
sum	vector	double	1000000	5.01828e-05	19.9271	159.417
sum	vector	double	10000000	0.00704642	1.41916	11.3533
sum	vector	double	100000000	0.0674083	1.4835	11.868
