func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	vector	float	1000	0.00159588	0.00125323	0.00751937
axpyz	vector	float	10000	0.000176546	0.113285	0.679711
axpyz	vector	float	100000	1.52387e-05	13.1245	78.7467
axpyz	vector	float	1000000	0.000129494	15.4448	92.6685
axpyz	vector	float	10000000	0.00936568	2.13546	12.8127
axpyz	vector	float	100000000	0.0670263	2.9839	17.9034
axpyz	vector	double	1000	1.33994e-05	0.14926	1.79112
axpyz	vector	double	10000	0.00016618	0.120352	1.44422
axpyz	vector	double	100000	1.92641e-05	10.382	124.584
axpyz	vector	double	1000000	9.39787e-05	21.2814	255.377
axpyz	vector	double	10000000	0.00921012	2.17152	26.0583
axpyz	vector	double	100000000	0.181562	1.10155	13.2186
