func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tan(CRS)	CRS	float	10000	10000	0.00199648	0.405714
m_tan(CRS)	CRS	float	20000	20000	0.00189902	0.853073
m_tan(CRS)	CRS	float	30000	30000	0.00295876	0.82129
m_tan(CRS)	CRS	float	40000	40000	0.00320629	1.01051
m_tan(CRS)	CRS	float	50000	50000	0.00442826	0.914579
m_tan(CRS)	CRS	float	60000	60000	0.00534885	0.908606
m_tan(CRS)	CRS	float	70000	70000	0.00501298	1.13106
m_tan(CRS)	CRS	float	80000	80000	0.00571778	1.13331
m_tan(CRS)	CRS	float	90000	90000	0.0065203	1.11805
m_tan(CRS)	CRS	float	100000	100000	0.00895256	0.904769
m_tan(CRS)	CRS	double	10000	10000	0.00171424	0.472513
m_tan(CRS)	CRS	double	20000	20000	0.0035631	0.454661
m_tan(CRS)	CRS	double	30000	30000	0.00554186	0.438481
m_tan(CRS)	CRS	double	40000	40000	0.007794	0.415704
m_tan(CRS)	CRS	double	50000	50000	0.00784311	0.516377
m_tan(CRS)	CRS	double	60000	60000	0.00775491	0.6267
m_tan(CRS)	CRS	double	70000	70000	0.0134536	0.42145
m_tan(CRS)	CRS	double	80000	80000	0.0140187	0.462238
m_tan(CRS)	CRS	double	90000	90000	0.0135015	0.539938
m_tan(CRS)	CRS	double	100000	100000	0.0165679	0.488899
