func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matsub(CRS,CRS,CRS)	CRS	float	10000	10000	0.000257136	3.15009	37.8011
matsub(CRS,CRS,CRS)	CRS	float	20000	20000	0.000453026	3.57596	42.9115
matsub(CRS,CRS,CRS)	CRS	float	30000	30000	0.000649457	3.74159	44.8991
matsub(CRS,CRS,CRS)	CRS	float	40000	40000	0.000847237	3.8242	45.8904
matsub(CRS,CRS,CRS)	CRS	float	50000	50000	0.00104345	3.88134	46.5761
matsub(CRS,CRS,CRS)	CRS	float	60000	60000	0.00124101	3.91617	46.994
matsub(CRS,CRS,CRS)	CRS	float	70000	70000	0.00152981	3.70634	44.4761
matsub(CRS,CRS,CRS)	CRS	float	80000	80000	0.00181699	3.56633	42.796
matsub(CRS,CRS,CRS)	CRS	float	90000	90000	0.00201236	3.62261	43.4713
matsub(CRS,CRS,CRS)	CRS	float	100000	100000	0.00220915	3.66657	43.9989
matsub(CRS,CRS,CRS)	CRS	double	10000	10000	0.000450917	1.79634	43.1121
matsub(CRS,CRS,CRS)	CRS	double	20000	20000	0.000847182	1.91222	45.8933
matsub(CRS,CRS,CRS)	CRS	double	30000	30000	0.00123534	1.96706	47.2095
matsub(CRS,CRS,CRS)	CRS	double	40000	40000	0.00164035	1.97519	47.4045
matsub(CRS,CRS,CRS)	CRS	double	50000	50000	0.00217133	1.86522	44.7652
matsub(CRS,CRS,CRS)	CRS	double	60000	60000	0.0025896	1.87674	45.0416
matsub(CRS,CRS,CRS)	CRS	double	70000	70000	0.00298346	1.90048	45.6115
matsub(CRS,CRS,CRS)	CRS	double	80000	80000	0.003371	1.92228	46.1347
matsub(CRS,CRS,CRS)	CRS	double	90000	90000	0.00377571	1.93076	46.3383
matsub(CRS,CRS,CRS)	CRS	double	100000	100000	0.00416039	1.94693	46.7263
