func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_div(CRS,CRS)	CRS	float	10000	10000	0.000274276	5.90645	23.6258
sm_div(CRS,CRS)	CRS	float	20000	20000	0.000486255	6.66317	26.6527
sm_div(CRS,CRS)	CRS	float	30000	30000	0.000701475	6.92825	27.713
sm_div(CRS,CRS)	CRS	float	40000	40000	0.000918082	7.05819	28.2328
sm_div(CRS,CRS)	CRS	float	50000	50000	0.00113475	7.13812	28.5525
sm_div(CRS,CRS)	CRS	float	60000	60000	0.00134687	7.21675	28.867
sm_div(CRS,CRS)	CRS	float	70000	70000	0.00155854	7.27604	29.1041
sm_div(CRS,CRS)	CRS	float	80000	80000	0.00177285	7.31025	29.241
sm_div(CRS,CRS)	CRS	float	90000	90000	0.00203338	7.17034	28.6814
sm_div(CRS,CRS)	CRS	float	100000	100000	0.00230054	7.04183	28.1673
sm_div(CRS,CRS)	CRS	double	10000	10000	0.000368123	4.40071	35.2057
sm_div(CRS,CRS)	CRS	double	20000	20000	0.000678228	4.77715	38.2172
sm_div(CRS,CRS)	CRS	double	30000	30000	0.000986156	4.92823	39.4258
sm_div(CRS,CRS)	CRS	double	40000	40000	0.00129944	4.98677	39.8942
sm_div(CRS,CRS)	CRS	double	50000	50000	0.00161105	5.02777	40.2222
sm_div(CRS,CRS)	CRS	double	60000	60000	0.00195353	4.97561	39.8049
sm_div(CRS,CRS)	CRS	double	70000	70000	0.00236161	4.80181	38.4145
sm_div(CRS,CRS)	CRS	double	80000	80000	0.00272008	4.76457	38.1166
sm_div(CRS,CRS)	CRS	double	90000	90000	0.00303764	4.79978	38.3982
sm_div(CRS,CRS)	CRS	double	100000	100000	0.00333907	4.85165	38.8132
