func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asinh	vector	float	1000	0.000669046	0.00149467	0.0119573
asinh	vector	float	10000	2.13352e-05	0.46871	3.74968
asinh	vector	float	100000	0.000101724	0.983057	7.86445
asinh	vector	float	1000000	0.000495189	2.01943	16.1554
asinh	vector	float	10000000	0.00502772	1.98897	15.9118
asinh	vector	float	100000000	0.0488726	2.04614	16.3691
asinh	vector	double	1000	1.63965e-05	0.0609885	0.975816
asinh	vector	double	10000	2.72545e-05	0.366911	5.87058
asinh	vector	double	100000	0.000115881	0.862957	13.8073
asinh	vector	double	1000000	0.00102656	0.974124	15.586
asinh	vector	double	10000000	0.0105539	0.947519	15.1603
asinh	vector	double	100000000	0.0957116	1.04481	16.7169
