func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
xpay	vector	float	1000	1.00388e-05	0.29884	0.796908
xpay	vector	float	10000	1.01058e-05	2.9686	7.91627
xpay	vector	float	100000	1.12199e-05	26.7381	71.3017
xpay	vector	float	1000000	3.45015e-05	86.9527	231.874
xpay	vector	float	10000000	0.0073148	4.10127	10.9367
xpay	vector	float	100000000	0.0931871	3.21933	8.58488
xpay	vector	double	1000	1.01501e-05	0.295564	1.57634
xpay	vector	double	10000	1.06989e-05	2.80403	14.9548
xpay	vector	double	100000	1.34287e-05	22.3403	119.148
xpay	vector	double	1000000	6.03795e-05	49.6857	264.991
xpay	vector	double	10000000	0.0170462	1.75992	9.38625
xpay	vector	double	100000000	0.0975021	3.07686	16.4099
