func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_add	float	1000	1.60628e-05	0.124511	0.747068
vv_add	float	2000	1.71355e-05	0.233434	1.4006
vv_add	float	4000	1.79756e-05	0.445048	2.67029
vv_add	float	8000	2.34003e-05	0.683752	4.10251
vv_add	float	16000	3.04806e-05	1.04985	6.29909
vv_add	float	32000	4.61709e-05	1.38615	8.31693
vv_add	float	64000	8.09525e-05	1.58117	9.48704
vv_add	float	128000	0.000131815	1.94211	11.6527
vv_add	float	256000	0.000238338	2.14821	12.8893
vv_add	float	512000	0.000468755	2.18451	13.1071
vv_add	float	1024000	0.000828687	2.47138	14.8283
vv_add	float	2048000	0.00163421	2.50641	15.0385
vv_add	float	4096000	0.00643894	1.27226	7.63355
vv_add	float	8192000	0.0146498	1.11838	6.71025
vv_add	float	16384000	0.0455695	0.719078	4.31447
vv_add	float	32768000	0.0885531	0.740076	4.44046
vv_add	float	65536000	0.154007	0.851081	5.10648
vv_add	double	1000	1.88134e-05	0.106307	1.27569
vv_add	double	2000	1.93036e-05	0.207215	2.48658
vv_add	double	4000	2.22172e-05	0.360081	4.32098
vv_add	double	8000	2.9376e-05	0.544662	6.53595
vv_add	double	16000	4.53439e-05	0.705718	8.46861
vv_add	double	32000	7.48878e-05	0.854612	10.2553
vv_add	double	64000	0.000109364	1.1704	14.0448
vv_add	double	128000	0.000192443	1.33026	15.9631
vv_add	double	256000	0.0003546	1.44388	17.3266
vv_add	double	512000	0.000643823	1.5905	19.086
vv_add	double	1024000	0.00138354	1.48026	17.7631
vv_add	double	2048000	0.00613434	0.667717	8.0126
vv_add	double	4096000	0.0149142	0.549276	6.59132
vv_add	double	8192000	0.0330161	0.496242	5.95491
vv_add	double	16384000	0.0854295	0.383568	4.60281
vv_add	double	32768000	0.166909	0.392645	4.71174
vv_add	double	65536000	0.29107	0.45031	5.40372
