func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00200631	0.996853	
matvec(Dense)	float	2000	2000	6.59793e-05	121.25	
matvec(Dense)	float	3000	3000	0.000177261	101.545	
matvec(Dense)	float	4000	4000	0.00500981	6.38747	
matvec(Dense)	float	5000	5000	0.00944714	5.29261	
matvec(Dense)	float	6000	6000	0.0143392	5.0212	
matvec(Dense)	float	7000	7000	0.0201685	4.85907	
matvec(Dense)	float	8000	8000	0.0269608	4.74763	
matvec(Dense)	float	9000	9000	0.015432	10.4977	
matvec(Dense)	float	10000	10000	0.0436043	4.5867	
matvec(Dense)	double	1000	1000	0.000235143	8.50546	
matvec(Dense)	double	2000	2000	0.000136695	58.5242	
matvec(Dense)	double	3000	3000	0.00596259	3.01882	
matvec(Dense)	double	4000	4000	0.0126448	2.53068	
matvec(Dense)	double	5000	5000	0.0161876	3.08879	
matvec(Dense)	double	6000	6000	0.027691	2.60012	
matvec(Dense)	double	7000	7000	0.0368161	2.66188	
matvec(Dense)	double	8000	8000	0.0430842	2.97093	
matvec(Dense)	double	9000	9000	0.0561516	2.88505	
matvec(Dense)	double	10000	10000	0.0720983	2.77399	
