func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_div	float	1000	1.89915e-05	0.10531	0.631862	
vv_div	float	10000	2.65029e-05	0.754634	4.52781	
vv_div	float	100000	0.00013593	1.47135	8.82807	
vv_div	float	1000000	0.000879906	2.27297	13.6378	
vv_div	float	10000000	0.0259299	0.771309	4.62786	
vv_div	float	100000000	0.230674	0.867026	5.20216	
vv_div	double	1000	1.87504e-05	0.106664	1.27997	
vv_div	double	10000	3.63409e-05	0.550344	6.60413	
vv_div	double	100000	0.000172328	1.16057	13.9269	
vv_div	double	1000000	0.00185082	1.0806	12.9672	
vv_div	double	10000000	0.0528986	0.378082	4.53698	
vv_div	double	100000000	0.421807	0.47415	5.6898	
