func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_div	vector	float	1000	8.16731e-05	0.0244879	0.0979514
sv_div	vector	float	10000	0.00010894	0.183587	0.734346
sv_div	vector	float	100000	0.000469178	0.426278	1.70511
sv_div	vector	float	1000000	0.00393489	0.508273	2.03309
sv_div	vector	float	10000000	0.0346452	0.577281	2.30912
sv_div	vector	float	100000000	0.384497	0.52016	2.08064
sv_div	vector	double	1000	0.000113866	0.0175645	0.140516
sv_div	vector	double	10000	0.000147054	0.136004	1.08803
sv_div	vector	double	100000	0.000990799	0.201857	1.61486
sv_div	vector	double	1000000	0.00735806	0.271811	2.17449
sv_div	vector	double	10000000	0.0670262	0.298391	2.38713
sv_div	vector	double	100000000	0.846556	0.236251	1.89001
