func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_sub	vector	float	1000	0.00099355	0.00201298	0.00805194
sv_sub	vector	float	10000	1.83631e-05	1.08914	4.35657
sv_sub	vector	float	100000	0.00589023	0.0339545	0.135818
sv_sub	vector	float	1000000	0.0008618	2.32072	9.28289
sv_sub	vector	float	10000000	0.0237798	0.841048	3.36419
sv_sub	vector	float	100000000	0.193724	1.0324	4.12959
sv_sub	vector	double	1000	1.97245e-05	0.101397	0.811174
sv_sub	vector	double	10000	3.56387e-05	0.561188	4.48951
sv_sub	vector	double	100000	0.00507243	0.0394289	0.315431
sv_sub	vector	double	1000000	0.00161381	1.2393	9.91442
sv_sub	vector	double	10000000	0.0417475	0.479071	3.83257
sv_sub	vector	double	100000000	0.409639	0.488234	3.90587
