func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_asinh(CRS)	CRS	float	10000	10000	0.00154652	0.523755
m_asinh(CRS)	CRS	float	20000	20000	0.00159268	1.01715
m_asinh(CRS)	CRS	float	30000	30000	0.0024097	1.00842
m_asinh(CRS)	CRS	float	40000	40000	0.00325433	0.995598
m_asinh(CRS)	CRS	float	50000	50000	0.00407221	0.994546
m_asinh(CRS)	CRS	float	60000	60000	0.00494189	0.98343
m_asinh(CRS)	CRS	float	70000	70000	0.00634416	0.893736
m_asinh(CRS)	CRS	float	80000	80000	0.00668567	0.969238
m_asinh(CRS)	CRS	float	90000	90000	0.00808857	0.901272
m_asinh(CRS)	CRS	float	100000	100000	0.00856516	0.945692
m_asinh(CRS)	CRS	double	10000	10000	0.001669	0.485319
m_asinh(CRS)	CRS	double	20000	20000	0.0033776	0.47963
m_asinh(CRS)	CRS	double	30000	30000	0.00534651	0.454502
m_asinh(CRS)	CRS	double	40000	40000	0.0069919	0.463394
m_asinh(CRS)	CRS	double	50000	50000	0.00871156	0.4649
m_asinh(CRS)	CRS	double	60000	60000	0.00909593	0.534305
m_asinh(CRS)	CRS	double	70000	70000	0.00798999	0.709638
m_asinh(CRS)	CRS	double	80000	80000	0.00912	0.710526
m_asinh(CRS)	CRS	double	90000	90000	0.00983331	0.741358
m_asinh(CRS)	CRS	double	100000	100000	0.0114028	0.710353
