func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_asinh(Dense)	Dense	float	1000	1000	0.000322287	3.10282
m_asinh(Dense)	Dense	float	2000	2000	0.0011014	3.63174
m_asinh(Dense)	Dense	float	3000	3000	0.0024037	3.74423
m_asinh(Dense)	Dense	float	4000	4000	0.00388026	4.12344
m_asinh(Dense)	Dense	float	5000	5000	0.00535448	4.66899
m_asinh(Dense)	Dense	float	6000	6000	0.00717047	5.02059
m_asinh(Dense)	Dense	float	7000	7000	0.00967832	5.06286
m_asinh(Dense)	Dense	float	8000	8000	0.0125439	5.10207
m_asinh(Dense)	Dense	float	9000	9000	0.0158389	5.11401
m_asinh(Dense)	Dense	float	10000	10000	0.0194881	5.13133
m_asinh(Dense)	Dense	double	1000	1000	0.00141677	0.70583
m_asinh(Dense)	Dense	double	2000	2000	0.0055336	0.722856
m_asinh(Dense)	Dense	double	3000	3000	0.0125612	0.716493
m_asinh(Dense)	Dense	double	4000	4000	0.0222936	0.717695
m_asinh(Dense)	Dense	double	5000	5000	0.0347468	0.719491
m_asinh(Dense)	Dense	double	6000	6000	0.0499876	0.720178
m_asinh(Dense)	Dense	double	7000	7000	0.0684184	0.716182
m_asinh(Dense)	Dense	double	8000	8000	0.0889378	0.719604
m_asinh(Dense)	Dense	double	9000	9000	0.11259	0.719425
m_asinh(Dense)	Dense	double	10000	10000	0.139082	0.718999
