func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sign(CRS)	CRS	float	10000	10000	0.000149212	5.42853
m_sign(CRS)	CRS	float	20000	20000	0.000202268	8.00917
m_sign(CRS)	CRS	float	30000	30000	0.00028879	8.41442
m_sign(CRS)	CRS	float	40000	40000	0.000381341	8.49632
m_sign(CRS)	CRS	float	50000	50000	0.000488166	8.29636
m_sign(CRS)	CRS	float	60000	60000	0.00059069	8.22766
m_sign(CRS)	CRS	float	70000	70000	0.00245682	2.30786
m_sign(CRS)	CRS	float	80000	80000	0.00380073	1.70493
m_sign(CRS)	CRS	float	90000	90000	0.00204207	3.56991
m_sign(CRS)	CRS	float	100000	100000	0.00593167	1.36555
m_sign(CRS)	CRS	double	10000	10000	0.000129539	6.25297
m_sign(CRS)	CRS	double	20000	20000	0.000236353	6.85416
m_sign(CRS)	CRS	double	30000	30000	0.000387795	6.2662
m_sign(CRS)	CRS	double	40000	40000	0.00392201	0.826108
m_sign(CRS)	CRS	double	50000	50000	0.00605599	0.668759
m_sign(CRS)	CRS	double	60000	60000	0.00835907	0.581404
m_sign(CRS)	CRS	double	70000	70000	0.0104018	0.545096
m_sign(CRS)	CRS	double	80000	80000	0.0057482	1.12731
m_sign(CRS)	CRS	double	90000	90000	0.0149004	0.489248
m_sign(CRS)	CRS	double	100000	100000	0.0158602	0.510712
