func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0361879	4.47663
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.0516238	7.0607
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.102776	6.30498
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.134757	7.5135
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.169007	8.62685
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0360234	4.49707
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0588784	6.19073
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0840735	7.70754
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.113136	8.94943
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.144333	10.1016
