func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_add(Dense,Dense,Dense)	Dense	float	1000	1000	0.000820231	1.21917	14.63
mm_add(Dense,Dense,Dense)	Dense	float	2000	2000	0.00127442	3.13869	37.6643
mm_add(Dense,Dense,Dense)	Dense	float	3000	3000	0.00420037	2.14267	25.712
mm_add(Dense,Dense,Dense)	Dense	float	4000	4000	0.0226508	0.706377	8.47653
mm_add(Dense,Dense,Dense)	Dense	float	5000	5000	0.012609	1.98271	23.7926
mm_add(Dense,Dense,Dense)	Dense	float	6000	6000	0.0225246	1.59825	19.179
mm_add(Dense,Dense,Dense)	Dense	float	7000	7000	0.0242017	2.02465	24.2958
mm_add(Dense,Dense,Dense)	Dense	float	8000	8000	0.0337189	1.89804	22.7765
mm_add(Dense,Dense,Dense)	Dense	float	9000	9000	0.0512194	1.58143	18.9772
mm_add(Dense,Dense,Dense)	Dense	float	10000	10000	0.0743275	1.3454	16.1448
mm_add(Dense,Dense,Dense)	Dense	double	1000	1000	0.000265747	3.76298	90.3116
mm_add(Dense,Dense,Dense)	Dense	double	2000	2000	0.00465436	0.859409	20.6258
mm_add(Dense,Dense,Dense)	Dense	double	3000	3000	0.0104457	0.861595	20.6783
mm_add(Dense,Dense,Dense)	Dense	double	4000	4000	0.024054	0.665169	15.9641
mm_add(Dense,Dense,Dense)	Dense	double	5000	5000	0.0396906	0.629872	15.1169
mm_add(Dense,Dense,Dense)	Dense	double	6000	6000	0.0378219	0.951828	22.8439
mm_add(Dense,Dense,Dense)	Dense	double	7000	7000	0.053058	0.923517	22.1644
mm_add(Dense,Dense,Dense)	Dense	double	8000	8000	0.0847228	0.755405	18.1297
mm_add(Dense,Dense,Dense)	Dense	double	9000	9000	0.0732012	1.10654	26.557
mm_add(Dense,Dense,Dense)	Dense	double	10000	10000	0.0892556	1.12038	26.8891
