func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_mul(CRS,CRS)	CRS	float	10000	10000	0.000122606	13.2131	52.8523
sm_mul(CRS,CRS)	CRS	float	20000	20000	0.000149631	21.6533	86.613
sm_mul(CRS,CRS)	CRS	float	30000	30000	0.000301999	16.0928	64.3711
sm_mul(CRS,CRS)	CRS	float	40000	40000	0.00302564	2.1417	8.56678
sm_mul(CRS,CRS)	CRS	float	50000	50000	0.00493881	1.64007	6.56029
sm_mul(CRS,CRS)	CRS	float	60000	60000	0.00698081	1.39239	5.56955
sm_mul(CRS,CRS)	CRS	float	70000	70000	0.00884944	1.28144	5.12575
sm_mul(CRS,CRS)	CRS	float	80000	80000	0.0106379	1.21829	4.87315
sm_mul(CRS,CRS)	CRS	float	90000	90000	0.0118551	1.22985	4.9194
sm_mul(CRS,CRS)	CRS	float	100000	100000	0.0138568	1.1691	4.67642
sm_mul(CRS,CRS)	CRS	double	10000	10000	0.000155018	10.4504	83.6031
sm_mul(CRS,CRS)	CRS	double	20000	20000	0.0031586	1.02577	8.20616
sm_mul(CRS,CRS)	CRS	double	30000	30000	0.00620591	0.783124	6.26499
sm_mul(CRS,CRS)	CRS	double	40000	40000	0.00992441	0.652935	5.22348
sm_mul(CRS,CRS)	CRS	double	50000	50000	0.0109868	0.737245	5.89796
sm_mul(CRS,CRS)	CRS	double	60000	60000	0.0179197	0.542418	4.33935
sm_mul(CRS,CRS)	CRS	double	70000	70000	0.012517	0.905969	7.24775
sm_mul(CRS,CRS)	CRS	double	80000	80000	0.0195855	0.661714	5.29371
sm_mul(CRS,CRS)	CRS	double	90000	90000	0.0263586	0.55314	4.42512
sm_mul(CRS,CRS)	CRS	double	100000	100000	0.029838	0.542933	4.34346
