func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_pow	vector	float	1000	0.000717243	0.00139423	0.0111538
sv_pow	vector	float	10000	2.11283e-05	0.4733	3.7864
sv_pow	vector	float	100000	0.000103254	0.968487	7.7479
sv_pow	vector	float	1000000	0.000531954	1.87986	15.0389
sv_pow	vector	float	10000000	0.00572876	1.74558	13.9646
sv_pow	vector	float	100000000	0.0634781	1.57535	12.6028
sv_pow	vector	double	1000	9.86703e-06	0.101348	1.62156
sv_pow	vector	double	10000	2.11808e-05	0.472126	7.55402
sv_pow	vector	double	100000	0.000106203	0.941593	15.0655
sv_pow	vector	double	1000000	0.000930241	1.07499	17.1998
sv_pow	vector	double	10000000	0.0124802	0.801268	12.8203
sv_pow	vector	double	100000000	0.0997279	1.00273	16.0436
