func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
ceil	vector	float	1000	4.4304e-05	0.0225713	0.18057
ceil	vector	float	10000	4.38491e-05	0.228055	1.82444
ceil	vector	float	100000	7.11079e-05	1.40631	11.2505
ceil	vector	float	1000000	0.000250516	3.99176	31.9341
ceil	vector	float	10000000	0.00145034	6.89495	55.1596
ceil	vector	float	100000000	0.00994973	10.0505	80.4042
ceil	vector	double	1000	2.76244e-05	0.0361999	0.579199
ceil	vector	double	10000	5.59184e-05	0.178832	2.86131
ceil	vector	double	100000	6.16481e-05	1.62211	25.9538
ceil	vector	double	1000000	0.0003864	2.58799	41.4079
ceil	vector	double	10000000	0.00187023	5.34693	85.5508
ceil	vector	double	100000000	0.0164061	6.09528	97.5246
