func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_add	vector	float	1000	0.000703265	0.00142194	0.0170633
vv_add	vector	float	10000	3.20513e-06	3.12	37.4399
vv_add	vector	float	100000	4.53007e-05	2.20747	26.4897
vv_add	vector	float	1000000	9.87689e-05	10.1246	121.496
vv_add	vector	float	10000000	0.00621877	1.60804	19.2964
vv_add	vector	float	100000000	0.0583728	1.71313	20.5575
vv_add	vector	double	1000	1.85097e-06	0.540258	12.9662
vv_add	vector	double	10000	6.44497e-06	1.5516	37.2384
vv_add	vector	double	100000	4.40565e-05	2.26981	54.4755
vv_add	vector	double	1000000	0.000784278	1.27506	30.6014
vv_add	vector	double	10000000	0.011786	0.848466	20.3632
vv_add	vector	double	100000000	0.114484	0.873484	20.9636
