func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_add	vector	float	1000	3.56658e-05	0.0280381	0.336457
vv_add	vector	float	10000	3.79645e-05	0.263404	3.16084
vv_add	vector	float	100000	6.65512e-05	1.5026	18.0312
vv_add	vector	float	1000000	0.000279421	3.57883	42.946
vv_add	vector	float	10000000	0.0014918	6.70333	80.4399
vv_add	vector	float	100000000	0.0127103	7.86765	94.4118
vv_add	vector	double	1000	3.09378e-05	0.0323229	0.77575
vv_add	vector	double	10000	3.01586e-05	0.33158	7.95793
vv_add	vector	double	100000	0.000187447	0.533485	12.8036
vv_add	vector	double	1000000	0.000499847	2.00061	48.0147
vv_add	vector	double	10000000	0.00262343	3.81181	91.4834
vv_add	vector	double	100000000	0.0243087	4.11376	98.7303
