func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_sub	vector	float	1000	0.000718564	0.00139166	0.0167
vv_sub	vector	float	10000	3.4209e-06	2.92321	35.0785
vv_sub	vector	float	100000	4.88829e-05	2.04571	24.5485
vv_sub	vector	float	1000000	9.72524e-05	10.2825	123.39
vv_sub	vector	float	10000000	0.00611262	1.63596	19.6315
vv_sub	vector	float	100000000	0.0738872	1.35341	16.241
vv_sub	vector	double	1000	2.31633e-06	0.431717	10.3612
vv_sub	vector	double	10000	6.34903e-06	1.57504	37.801
vv_sub	vector	double	100000	6.41264e-05	1.55942	37.4261
vv_sub	vector	double	1000000	0.000494634	2.0217	48.5207
vv_sub	vector	double	10000000	0.0113288	0.88271	21.185
vv_sub	vector	double	100000000	0.114767	0.87133	20.9119
