func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00228859	0.436949	3.4956	
mscal(Dense)	float	2000	2000	0.00603669	0.662614	5.30092	
mscal(Dense)	float	3000	3000	0.0120539	0.746645	5.97316	
mscal(Dense)	float	4000	4000	0.0188242	0.849968	6.79975	
mscal(Dense)	float	5000	5000	0.0268336	0.931669	7.45335	
mscal(Dense)	float	6000	6000	0.0383022	0.939893	7.51914	
mscal(Dense)	float	7000	7000	0.0512828	0.955486	7.64389	
mscal(Dense)	float	8000	8000	0.0672316	0.951934	7.61547	
mscal(Dense)	float	9000	9000	0.0857781	0.944297	7.55437	
mscal(Dense)	float	10000	10000	0.104543	0.956546	7.65237	
mscal(Dense)	double	1000	1000	0.00214201	0.466851	7.46961	
mscal(Dense)	double	2000	2000	0.00615388	0.649996	10.3999	
mscal(Dense)	double	3000	3000	0.0128873	0.698362	11.1738	
mscal(Dense)	double	4000	4000	0.0222027	0.720634	11.5301	
mscal(Dense)	double	5000	5000	0.034398	0.726786	11.6286	
mscal(Dense)	double	6000	6000	0.0492286	0.731282	11.7005	
mscal(Dense)	double	7000	7000	0.0663203	0.738839	11.8214	
mscal(Dense)	double	8000	8000	0.086402	0.740724	11.8516	
mscal(Dense)	double	9000	9000	0.110124	0.735533	11.7685	
