func	kind	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	CRS	float	10000	10000	0.002919	0.554985
mv_mul(CRS)	CRS	float	20000	20000	0.000583267	5.55491
mv_mul(CRS)	CRS	float	30000	30000	0.000797701	6.09251
mv_mul(CRS)	CRS	float	40000	40000	0.00101211	6.40246
mv_mul(CRS)	CRS	float	50000	50000	0.00117729	6.88023
mv_mul(CRS)	CRS	float	60000	60000	0.00143498	6.7736
mv_mul(CRS)	CRS	float	70000	70000	0.00161916	7.00365
mv_mul(CRS)	CRS	float	80000	80000	0.00183595	7.059
mv_mul(CRS)	CRS	float	90000	90000	0.00203282	7.17231
mv_mul(CRS)	CRS	float	100000	100000	0.0022679	7.14316
mv_mul(CRS)	CRS	double	10000	10000	0.00047761	3.39189
mv_mul(CRS)	CRS	double	20000	20000	0.000739663	4.38037
mv_mul(CRS)	CRS	double	30000	30000	0.00102784	4.72836
mv_mul(CRS)	CRS	double	40000	40000	0.00131004	4.94641
mv_mul(CRS)	CRS	double	50000	50000	0.00160405	5.04973
mv_mul(CRS)	CRS	double	60000	60000	0.0019567	4.96755
mv_mul(CRS)	CRS	double	70000	70000	0.00227045	4.9946
mv_mul(CRS)	CRS	double	80000	80000	0.00269398	4.81073
mv_mul(CRS)	CRS	double	90000	90000	0.00304515	4.78795
mv_mul(CRS)	CRS	double	100000	100000	0.00331912	4.88082
