func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	0.00093282	0.00214404	0.0128642
axpyz	float	10000	0.000965264	0.0207197	0.124318
axpyz	float	100000	0.00126629	0.157942	0.947651
axpyz	float	1000000	0.00418786	0.477571	2.86542
axpyz	float	10000000	0.0309654	0.645882	3.87529
axpyz	float	100000000	0.265815	0.752404	4.51443
axpyz	double	1000	0.000731191	0.00273526	0.0328232
axpyz	double	10000	0.000766064	0.0261075	0.31329
axpyz	double	100000	0.00108791	0.183839	2.20607
axpyz	double	1000000	0.00405988	0.492625	5.9115
axpyz	double	10000000	0.0352067	0.568074	6.81689
axpyz	double	100000000	0.34025	0.587803	7.05364
