func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.001382	0.723586
m_tanh(Dense)	float	2000	2000	0.00428122	0.934314
m_tanh(Dense)	float	3000	3000	0.00949861	0.947507
m_tanh(Dense)	float	4000	4000	0.0170336	0.939318
m_tanh(Dense)	float	5000	5000	0.0264359	0.945684
m_tanh(Dense)	float	6000	6000	0.0375429	0.958903
m_tanh(Dense)	float	7000	7000	0.051052	0.959806
m_tanh(Dense)	float	8000	8000	0.0665805	0.961242
m_tanh(Dense)	float	9000	9000	0.0843303	0.960509
m_tanh(Dense)	float	10000	10000	0.104526	0.956699
m_tanh(Dense)	double	1000	1000	0.00287414	0.34793
m_tanh(Dense)	double	2000	2000	0.0113751	0.351645
m_tanh(Dense)	double	3000	3000	0.0255953	0.351627
m_tanh(Dense)	double	4000	4000	0.0456051	0.350838
m_tanh(Dense)	double	5000	5000	0.0716598	0.348871
m_tanh(Dense)	double	6000	6000	0.103169	0.348942
m_tanh(Dense)	double	7000	7000	0.140689	0.348287
m_tanh(Dense)	double	8000	8000	0.183572	0.348636
m_tanh(Dense)	double	9000	9000	0.233075	0.347528
