func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.0415506	0.048134
matvec(Dense)	float	2000	2000	0.000694098	11.5258
matvec(Dense)	float	3000	3000	0.000897322	20.0597
matvec(Dense)	float	4000	4000	0.00121707	26.2926
matvec(Dense)	float	5000	5000	0.00176655	28.3037
matvec(Dense)	float	6000	6000	0.0022943	31.3821
matvec(Dense)	float	7000	7000	0.00249279	39.3134
matvec(Dense)	float	8000	8000	0.00318089	40.2403
matvec(Dense)	float	9000	9000	0.00379104	42.7323
matvec(Dense)	float	10000	10000	0.00454078	44.0453
matvec(Dense)	double	1000	1000	0.000553258	3.61495
matvec(Dense)	double	2000	2000	0.000823907	9.70983
matvec(Dense)	double	3000	3000	0.00121713	14.7888
matvec(Dense)	double	4000	4000	0.00183183	17.4688
matvec(Dense)	double	5000	5000	0.00249333	20.0535
matvec(Dense)	double	6000	6000	0.00345525	20.8379
matvec(Dense)	double	7000	7000	0.0044352	22.0959
matvec(Dense)	double	8000	8000	0.00568611	22.511
matvec(Dense)	double	9000	9000	0.00708519	22.8646
