func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	Dense	float	1000	1000	0.000196302	5.09419
m_tanh(Dense)	Dense	float	2000	2000	0.000601898	6.64565
m_tanh(Dense)	Dense	float	3000	3000	0.0012761	7.05277
m_tanh(Dense)	Dense	float	4000	4000	0.00218272	7.3303
m_tanh(Dense)	Dense	float	5000	5000	0.00296754	8.42448
m_tanh(Dense)	Dense	float	6000	6000	0.00384904	9.35298
m_tanh(Dense)	Dense	float	7000	7000	0.0051671	9.48308
m_tanh(Dense)	Dense	float	8000	8000	0.00669414	9.5606
m_tanh(Dense)	Dense	float	9000	9000	0.00847071	9.56236
m_tanh(Dense)	Dense	float	10000	10000	0.0104379	9.5805
m_tanh(Dense)	Dense	double	1000	1000	0.000453582	2.20467
m_tanh(Dense)	Dense	double	2000	2000	0.00143799	2.78166
m_tanh(Dense)	Dense	double	3000	3000	0.00314249	2.86397
m_tanh(Dense)	Dense	double	4000	4000	0.00557606	2.86941
m_tanh(Dense)	Dense	double	5000	5000	0.00873393	2.8624
m_tanh(Dense)	Dense	double	6000	6000	0.0124774	2.88522
m_tanh(Dense)	Dense	double	7000	7000	0.0169518	2.89055
m_tanh(Dense)	Dense	double	8000	8000	0.0220524	2.90218
m_tanh(Dense)	Dense	double	9000	9000	0.027748	2.91913
m_tanh(Dense)	Dense	double	10000	10000	0.0342862	2.91663
