func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sqrt	vector	float	1000	2.61888e-05	0.0381843	0.305474
sqrt	vector	float	10000	5.85e-05	0.17094	1.36752
sqrt	vector	float	100000	6.02725e-05	1.65913	13.2731
sqrt	vector	float	1000000	0.000277926	3.59808	28.7846
sqrt	vector	float	10000000	0.00182637	5.47535	43.8028
sqrt	vector	float	100000000	0.0137756	7.25924	58.0739
sqrt	vector	double	1000	2.56308e-05	0.0390156	0.62425
sqrt	vector	double	10000	6.91416e-05	0.144631	2.31409
sqrt	vector	double	100000	0.000146057	0.684666	10.9547
sqrt	vector	double	1000000	0.000482085	2.07433	33.1892
sqrt	vector	double	10000000	0.00270634	3.69502	59.1204
sqrt	vector	double	100000000	0.025078	3.98756	63.8009
