func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sinh(CRS)	CRS	float	10000	10000	0.000312376	2.59303
m_sinh(CRS)	CRS	float	20000	20000	0.000561485	2.88521
m_sinh(CRS)	CRS	float	30000	30000	0.000812189	2.99192
m_sinh(CRS)	CRS	float	40000	40000	0.00106191	3.0511
m_sinh(CRS)	CRS	float	50000	50000	0.00131246	3.0858
m_sinh(CRS)	CRS	float	60000	60000	0.00126706	3.83564
m_sinh(CRS)	CRS	float	70000	70000	0.00136374	4.15767
m_sinh(CRS)	CRS	float	80000	80000	0.00155027	4.17992
m_sinh(CRS)	CRS	float	90000	90000	0.00173689	4.19717
m_sinh(CRS)	CRS	float	100000	100000	0.00192131	4.21587
m_sinh(CRS)	CRS	double	10000	10000	0.00161274	0.502251
m_sinh(CRS)	CRS	double	20000	20000	0.00316676	0.511563
m_sinh(CRS)	CRS	double	30000	30000	0.00472248	0.51456
m_sinh(CRS)	CRS	double	40000	40000	0.0063176	0.512853
m_sinh(CRS)	CRS	double	50000	50000	0.00790713	0.512196
m_sinh(CRS)	CRS	double	60000	60000	0.00950233	0.511453
m_sinh(CRS)	CRS	double	70000	70000	0.0110478	0.513226
m_sinh(CRS)	CRS	double	80000	80000	0.0126304	0.513047
m_sinh(CRS)	CRS	double	90000	90000	0.0142036	0.51325
m_sinh(CRS)	CRS	double	100000	100000	0.0157416	0.514561
