func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sinh	vector	float	1000	1.05335e-05	0.0949355	0.759484
sinh	vector	float	10000	8.0201e-06	1.24687	9.97494
sinh	vector	float	100000	4.73571e-05	2.11161	16.8929
sinh	vector	float	1000000	0.000316935	3.15522	25.2418
sinh	vector	float	10000000	0.00391217	2.55613	20.449
sinh	vector	float	100000000	0.0394576	2.53437	20.2749
sinh	vector	double	1000	1.5926e-05	0.0627904	1.00465
sinh	vector	double	10000	7.89153e-06	1.26718	20.2749
sinh	vector	double	100000	5.42538e-05	1.84319	29.491
sinh	vector	double	1000000	0.00036553	2.73575	43.772
sinh	vector	double	10000000	0.00773459	1.29289	20.6863
sinh	vector	double	100000000	0.0741143	1.34927	21.5883
