func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	0.000930541	0.00214929	0.0128957	
axpyz	float	10000	0.000968464	0.0206513	0.123908	
axpyz	float	100000	0.00126806	0.157722	0.94633	
axpyz	float	1000000	0.00419344	0.476936	2.86161	
axpyz	float	10000000	0.0302649	0.660832	3.96499	
axpyz	float	100000000	0.265696	0.752739	4.51643	
axpyz	double	1000	0.000729546	0.00274143	0.0328972	
axpyz	double	10000	0.000764956	0.0261453	0.313743	
axpyz	double	100000	0.00109044	0.183411	2.20094	
axpyz	double	1000000	0.00408345	0.489781	5.87738	
axpyz	double	10000000	0.0352518	0.567347	6.80817	
axpyz	double	100000000	0.341091	0.586353	7.03624	
