func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	CRS	float	10000	10000	0.000329295	2.4598	29.5176
matadd(CRS,CRS,CRS)	CRS	float	20000	20000	0.000575134	2.81674	33.8008
matadd(CRS,CRS,CRS)	CRS	float	30000	30000	0.000816621	2.97568	35.7081
matadd(CRS,CRS,CRS)	CRS	float	40000	40000	0.000992506	3.26446	39.1736
matadd(CRS,CRS,CRS)	CRS	float	50000	50000	0.00117939	3.43398	41.2078
matadd(CRS,CRS,CRS)	CRS	float	60000	60000	0.00141745	3.4287	41.1444
matadd(CRS,CRS,CRS)	CRS	float	70000	70000	0.00159025	3.56548	42.7857
matadd(CRS,CRS,CRS)	CRS	float	80000	80000	0.00178937	3.62139	43.4567
matadd(CRS,CRS,CRS)	CRS	float	90000	90000	0.00198964	3.66398	43.9677
matadd(CRS,CRS,CRS)	CRS	float	100000	100000	0.00217725	3.72028	44.6434
matadd(CRS,CRS,CRS)	CRS	double	10000	10000	0.000581906	1.39198	33.4074
matadd(CRS,CRS,CRS)	CRS	double	20000	20000	0.000981821	1.65	39.5999
matadd(CRS,CRS,CRS)	CRS	double	30000	30000	0.00139962	1.73619	41.6685
matadd(CRS,CRS,CRS)	CRS	double	40000	40000	0.00177691	1.82339	43.7613
matadd(CRS,CRS,CRS)	CRS	double	50000	50000	0.00218008	1.85773	44.5854
matadd(CRS,CRS,CRS)	CRS	double	60000	60000	0.00255662	1.90095	45.6227
matadd(CRS,CRS,CRS)	CRS	double	70000	70000	0.00295863	1.91643	45.9943
matadd(CRS,CRS,CRS)	CRS	double	80000	80000	0.00334837	1.93527	46.4465
matadd(CRS,CRS,CRS)	CRS	double	90000	90000	0.00378777	1.92462	46.1908
matadd(CRS,CRS,CRS)	CRS	double	100000	100000	0.00416993	1.94248	46.6195
