func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_add(Dense,Dense,Dense)	Dense	float	1000	1000	0.00071628	1.3961	16.7532
mm_add(Dense,Dense,Dense)	Dense	float	2000	2000	0.00216786	1.84514	22.1417
mm_add(Dense,Dense,Dense)	Dense	float	3000	3000	0.0109427	0.822466	9.86959
mm_add(Dense,Dense,Dense)	Dense	float	4000	4000	0.0195599	0.817999	9.81599
mm_add(Dense,Dense,Dense)	Dense	float	5000	5000	0.0262824	0.951206	11.4145
mm_add(Dense,Dense,Dense)	Dense	float	6000	6000	0.0385545	0.933743	11.2049
mm_add(Dense,Dense,Dense)	Dense	float	7000	7000	0.0412232	1.18865	14.2638
mm_add(Dense,Dense,Dense)	Dense	float	8000	8000	0.0646962	0.989239	11.8709
mm_add(Dense,Dense,Dense)	Dense	float	9000	9000	0.0748113	1.08272	12.9927
mm_add(Dense,Dense,Dense)	Dense	float	10000	10000	0.0764455	1.30812	15.6975
mm_add(Dense,Dense,Dense)	Dense	double	1000	1000	8.8969e-05	11.2399	269.757
mm_add(Dense,Dense,Dense)	Dense	double	2000	2000	0.0085364	0.468582	11.246
mm_add(Dense,Dense,Dense)	Dense	double	3000	3000	0.0220198	0.408722	9.80933
mm_add(Dense,Dense,Dense)	Dense	double	4000	4000	0.0404977	0.395084	9.48201
mm_add(Dense,Dense,Dense)	Dense	double	5000	5000	0.05473	0.456788	10.9629
mm_add(Dense,Dense,Dense)	Dense	double	6000	6000	0.0889821	0.404576	9.70982
mm_add(Dense,Dense,Dense)	Dense	double	7000	7000	0.124735	0.392833	9.428
mm_add(Dense,Dense,Dense)	Dense	double	8000	8000	0.0877566	0.72929	17.503
mm_add(Dense,Dense,Dense)	Dense	double	9000	9000	0.110089	0.735768	17.6584
mm_add(Dense,Dense,Dense)	Dense	double	10000	10000	0.117576	0.85051	20.4122
