func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sinh(Dense)	Dense	float	1000	1000	0.000197705	5.05804
m_sinh(Dense)	Dense	float	2000	2000	0.000601252	6.65279
m_sinh(Dense)	Dense	float	3000	3000	0.00126876	7.09354
m_sinh(Dense)	Dense	float	4000	4000	0.00224918	7.11371
m_sinh(Dense)	Dense	float	5000	5000	0.00302947	8.25226
m_sinh(Dense)	Dense	float	6000	6000	0.00378339	9.51529
m_sinh(Dense)	Dense	float	7000	7000	0.00506258	9.67887
m_sinh(Dense)	Dense	float	8000	8000	0.00662267	9.66378
m_sinh(Dense)	Dense	float	9000	9000	0.00836195	9.68673
m_sinh(Dense)	Dense	float	10000	10000	0.0102799	9.7277
m_sinh(Dense)	Dense	double	1000	1000	0.00045437	2.20085
m_sinh(Dense)	Dense	double	2000	2000	0.00143749	2.78264
m_sinh(Dense)	Dense	double	3000	3000	0.00289605	3.10769
m_sinh(Dense)	Dense	double	4000	4000	0.0049918	3.20526
m_sinh(Dense)	Dense	double	5000	5000	0.00765632	3.26528
m_sinh(Dense)	Dense	double	6000	6000	0.0108984	3.30324
m_sinh(Dense)	Dense	double	7000	7000	0.0146544	3.3437
m_sinh(Dense)	Dense	double	8000	8000	0.0189704	3.37368
m_sinh(Dense)	Dense	double	9000	9000	0.0238095	3.402
m_sinh(Dense)	Dense	double	10000	10000	0.0292179	3.42256
