func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	CRS	float	10000	10000	0.000174609	4.63894	37.1116
mscal(CRS)	CRS	float	20000	20000	0.000526787	3.07524	24.602
mscal(CRS)	CRS	float	30000	30000	0.00173291	1.40227	11.2182
mscal(CRS)	CRS	float	40000	40000	0.00233917	1.38511	11.0808
mscal(CRS)	CRS	float	50000	50000	0.00290224	1.39548	11.1638
mscal(CRS)	CRS	float	60000	60000	0.00333816	1.45589	11.6472
mscal(CRS)	CRS	float	70000	70000	0.0038572	1.46998	11.7598
mscal(CRS)	CRS	float	80000	80000	0.00441952	1.46622	11.7298
mscal(CRS)	CRS	float	90000	90000	0.00496733	1.46759	11.7407
mscal(CRS)	CRS	float	100000	100000	0.00548634	1.47639	11.8112
mscal(CRS)	CRS	double	10000	10000	0.000450271	1.79892	28.7826
mscal(CRS)	CRS	double	20000	20000	0.00223205	0.725789	11.6126
mscal(CRS)	CRS	double	30000	30000	0.00329609	0.737236	11.7958
mscal(CRS)	CRS	double	40000	40000	0.00438847	0.738298	11.8128
mscal(CRS)	CRS	double	50000	50000	0.00547929	0.739147	11.8263
mscal(CRS)	CRS	double	60000	60000	0.00656012	0.74084	11.8534
mscal(CRS)	CRS	double	70000	70000	0.0076677	0.739465	11.8314
mscal(CRS)	CRS	double	80000	80000	0.00876685	0.739148	11.8264
mscal(CRS)	CRS	double	90000	90000	0.00987351	0.73834	11.8134
mscal(CRS)	CRS	double	100000	100000	0.0109426	0.740225	11.8436
