func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_div(CRS,CRS)	CRS	float	10000	10000	0.000426722	3.79638	15.1855
sm_div(CRS,CRS)	CRS	float	20000	20000	0.000704934	4.59617	18.3847
sm_div(CRS,CRS)	CRS	float	30000	30000	0.000992473	4.89686	19.5874
sm_div(CRS,CRS)	CRS	float	40000	40000	0.00122195	5.30298	21.2119
sm_div(CRS,CRS)	CRS	float	50000	50000	0.00144593	5.60194	22.4078
sm_div(CRS,CRS)	CRS	float	60000	60000	0.00149798	6.48875	25.955
sm_div(CRS,CRS)	CRS	float	70000	70000	0.00167736	6.76062	27.0425
sm_div(CRS,CRS)	CRS	float	80000	80000	0.00190005	6.82086	27.2835
sm_div(CRS,CRS)	CRS	float	90000	90000	0.00213605	6.82567	27.3027
sm_div(CRS,CRS)	CRS	float	100000	100000	0.0023404	6.9219	27.6876
sm_div(CRS,CRS)	CRS	double	10000	10000	0.0004641	3.49062	27.925
sm_div(CRS,CRS)	CRS	double	20000	20000	0.000788719	4.10793	32.8634
sm_div(CRS,CRS)	CRS	double	30000	30000	0.00108717	4.47033	35.7627
sm_div(CRS,CRS)	CRS	double	40000	40000	0.00140018	4.62797	37.0237
sm_div(CRS,CRS)	CRS	double	50000	50000	0.00170574	4.74866	37.9893
sm_div(CRS,CRS)	CRS	double	60000	60000	0.00200981	4.83627	38.6902
sm_div(CRS,CRS)	CRS	double	70000	70000	0.0023128	4.90314	39.2251
sm_div(CRS,CRS)	CRS	double	80000	80000	0.0026189	4.94864	39.5891
sm_div(CRS,CRS)	CRS	double	90000	90000	0.00293101	4.97439	39.7951
sm_div(CRS,CRS)	CRS	double	100000	100000	0.00329804	4.91201	39.2961
