func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_sub(Dense,Dense)	Dense	float	1000	1000	0.000182065	5.49255	43.9404
sm_sub(Dense,Dense)	Dense	float	2000	2000	0.000542916	7.36763	58.941
sm_sub(Dense,Dense)	Dense	float	3000	3000	0.00113934	7.89928	63.1943
sm_sub(Dense,Dense)	Dense	float	4000	4000	0.00191481	8.35592	66.8474
sm_sub(Dense,Dense)	Dense	float	5000	5000	0.00246517	10.1413	81.1303
sm_sub(Dense,Dense)	Dense	float	6000	6000	0.00356547	10.0969	80.7748
sm_sub(Dense,Dense)	Dense	float	7000	7000	0.00526256	9.31107	74.4885
sm_sub(Dense,Dense)	Dense	float	8000	8000	0.00621553	10.2968	82.3743
sm_sub(Dense,Dense)	Dense	float	9000	9000	0.00785559	10.3111	82.489
sm_sub(Dense,Dense)	Dense	float	10000	10000	0.00958187	10.4364	83.491
sm_sub(Dense,Dense)	Dense	double	1000	1000	0.000223533	4.47361	71.5777
sm_sub(Dense,Dense)	Dense	double	2000	2000	0.000730839	5.47316	87.5706
sm_sub(Dense,Dense)	Dense	double	3000	3000	0.00152209	5.91291	94.6066
sm_sub(Dense,Dense)	Dense	double	4000	4000	0.00275227	5.81339	93.0142
sm_sub(Dense,Dense)	Dense	double	5000	5000	0.00431015	5.80026	92.8042
sm_sub(Dense,Dense)	Dense	double	6000	6000	0.00605691	5.94363	95.098
sm_sub(Dense,Dense)	Dense	double	7000	7000	0.00816967	5.9978	95.9648
sm_sub(Dense,Dense)	Dense	double	8000	8000	0.0106105	6.03173	96.5077
sm_sub(Dense,Dense)	Dense	double	9000	9000	0.0133754	6.05588	96.894
sm_sub(Dense,Dense)	Dense	double	10000	10000	0.0164598	6.07541	97.2066
