func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asum	vector	float	1000	0.000506396	0.00197474	0.00789895
asum	vector	float	2000	0.000511067	0.00391338	0.0156535
asum	vector	float	4000	0.000506821	0.00789233	0.0315693
asum	vector	float	8000	0.000510622	0.0156672	0.0626687
asum	vector	float	16000	0.000514718	0.031085	0.12434
asum	vector	float	32000	0.000509223	0.0628409	0.251364
asum	vector	float	64000	0.000517831	0.123592	0.49437
asum	vector	float	128000	0.000526909	0.242926	0.971706
asum	vector	float	256000	0.000746079	0.343127	1.37251
asum	vector	float	512000	0.00076143	0.672419	2.68967
asum	vector	float	1024000	0.000774781	1.32166	5.28665
asum	vector	float	2048000	0.000822954	2.4886	9.95438
asum	vector	float	4096000	0.000914895	4.47702	17.9081
asum	vector	float	8192000	0.0010992	7.45268	29.8107
asum	vector	float	16384000	0.0014382	11.392	45.5682
asum	vector	float	32768000	0.00212994	15.3845	61.538
asum	vector	float	65536000	0.00335745	19.5196	78.0782
asum	vector	double	1000	0.000682658	0.00146486	0.0117189
asum	vector	double	2000	0.000685729	0.0029166	0.0233328
asum	vector	double	4000	0.000666098	0.00600512	0.048041
asum	vector	double	8000	0.000481156	0.0166266	0.133013
asum	vector	double	16000	0.000793132	0.0201732	0.161385
asum	vector	double	32000	0.000466967	0.0685274	0.548219
asum	vector	double	64000	0.000473888	0.135053	1.08042
asum	vector	double	128000	0.000663803	0.192828	1.54263
asum	vector	double	256000	0.000681627	0.375572	3.00458
asum	vector	double	512000	0.000704893	0.726351	5.81081
asum	vector	double	1024000	0.000746618	1.37152	10.9721
asum	vector	double	2048000	0.000819153	2.50014	20.0011
asum	vector	double	4096000	0.000990632	4.13474	33.0779
asum	vector	double	8192000	0.00130802	6.2629	50.1032
asum	vector	double	16384000	0.00197348	8.30208	66.4166
asum	vector	double	32768000	0.00322391	10.164	81.3124
asum	vector	double	65536000	0.00579345	11.3121	90.4966
