func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	CRS	float	10000	10000	0.000938635	0.862955	10.3555
matadd(CRS,CRS,CRS)	CRS	float	20000	20000	0.00189422	0.855234	10.2628
matadd(CRS,CRS,CRS)	CRS	float	30000	30000	0.00296435	0.819742	9.8369
matadd(CRS,CRS,CRS)	CRS	float	40000	40000	0.00384151	0.843418	10.121
matadd(CRS,CRS,CRS)	CRS	float	50000	50000	0.0149892	0.270194	3.24233
matadd(CRS,CRS,CRS)	CRS	float	60000	60000	0.00529018	0.918683	11.0242
matadd(CRS,CRS,CRS)	CRS	float	70000	70000	0.0064323	0.881489	10.5779
matadd(CRS,CRS,CRS)	CRS	float	80000	80000	0.00748665	0.865541	10.3865
matadd(CRS,CRS,CRS)	CRS	float	90000	90000	0.00847125	0.860558	10.3267
matadd(CRS,CRS,CRS)	CRS	float	100000	100000	0.00958997	0.844633	10.1356
matadd(CRS,CRS,CRS)	CRS	double	10000	10000	0.00141288	0.573296	13.7591
matadd(CRS,CRS,CRS)	CRS	double	20000	20000	0.00328772	0.492743	11.8258
matadd(CRS,CRS,CRS)	CRS	double	30000	30000	0.00534987	0.454217	10.9012
matadd(CRS,CRS,CRS)	CRS	double	40000	40000	0.00743812	0.435594	10.4543
matadd(CRS,CRS,CRS)	CRS	double	50000	50000	0.0105385	0.384304	9.2233
matadd(CRS,CRS,CRS)	CRS	double	60000	60000	0.0125163	0.388293	9.31904
matadd(CRS,CRS,CRS)	CRS	double	70000	70000	0.0184518	0.307288	7.37491
matadd(CRS,CRS,CRS)	CRS	double	80000	80000	0.0139291	0.465212	11.1651
matadd(CRS,CRS,CRS)	CRS	double	90000	90000	0.0243254	0.299687	7.19248
matadd(CRS,CRS,CRS)	CRS	double	100000	100000	0.0222658	0.363787	8.73088
