func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
floor	vector	float	1000	3.71894e-05	0.0268894	0.215115
floor	vector	float	10000	3.22975e-05	0.309622	2.47697
floor	vector	float	100000	5.93712e-05	1.68432	13.4746
floor	vector	float	1000000	0.00024244	4.12473	32.9979
floor	vector	float	10000000	0.00143764	6.95583	55.6466
floor	vector	float	100000000	0.0100457	9.95455	79.6364
floor	vector	double	1000	2.98555e-05	0.0334947	0.535915
floor	vector	double	10000	5.45798e-05	0.183218	2.93149
floor	vector	double	100000	7.79985e-05	1.28208	20.5132
floor	vector	double	1000000	0.00040048	2.497	39.952
floor	vector	double	10000000	0.00188898	5.29386	84.7017
floor	vector	double	100000000	0.0164673	6.07263	97.1621
