func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_mul	vector	float	1000	0.000681747	0.00146682	0.0176018
vv_mul	vector	float	10000	3.24893e-06	3.07793	36.9352
vv_mul	vector	float	100000	4.5364e-05	2.20439	26.4527
vv_mul	vector	float	1000000	9.68348e-05	10.3269	123.922
vv_mul	vector	float	10000000	0.00602847	1.6588	19.9056
vv_mul	vector	float	100000000	0.0538584	1.85672	22.2806
vv_mul	vector	double	1000	5.7281e-06	0.174578	4.18987
vv_mul	vector	double	10000	6.58287e-06	1.5191	36.4583
vv_mul	vector	double	100000	4.40871e-05	2.26824	54.4377
vv_mul	vector	double	1000000	0.000753831	1.32656	31.8374
vv_mul	vector	double	10000000	0.0117466	0.851308	20.4314
vv_mul	vector	double	100000000	0.109241	0.915407	21.9698
