func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	vector	float	1000	1.763e-07	5.67215	45.3772
scal	vector	float	10000	1.59257e-06	6.27917	50.2334
scal	vector	float	100000	0.000505245	0.197924	1.58339
scal	vector	float	1000000	2.07326e-05	48.2333	385.866
scal	vector	float	10000000	0.000437582	22.8529	182.823
scal	vector	float	100000000	0.0447837	2.23296	17.8636
scal	vector	double	1000	2.331e-07	4.29	68.6401
scal	vector	double	10000	8.3238e-06	1.20137	19.222
scal	vector	double	100000	0.000344434	0.290332	4.64531
scal	vector	double	1000000	4.01763e-05	24.8903	398.245
scal	vector	double	10000000	0.00838423	1.19272	19.0834
scal	vector	double	100000000	0.0860541	1.16206	18.593
