func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mm_div(CRS,CRS,CRS)	CRS	float	10000	10000	0.000461481	3.51043	21.0626
mm_div(CRS,CRS,CRS)	CRS	float	20000	20000	0.000894326	3.62284	21.737
mm_div(CRS,CRS,CRS)	CRS	float	30000	30000	0.00111119	4.37368	26.2421
mm_div(CRS,CRS,CRS)	CRS	float	40000	40000	0.00133774	4.84398	29.0639
mm_div(CRS,CRS,CRS)	CRS	float	50000	50000	0.00152638	5.30669	31.8401
mm_div(CRS,CRS,CRS)	CRS	float	60000	60000	0.0016992	5.72035	34.3221
mm_div(CRS,CRS,CRS)	CRS	float	70000	70000	0.00196284	5.77733	34.664
mm_div(CRS,CRS,CRS)	CRS	float	80000	80000	0.00219175	5.91309	35.4785
mm_div(CRS,CRS,CRS)	CRS	float	90000	90000	0.00245923	5.92869	35.5722
mm_div(CRS,CRS,CRS)	CRS	float	100000	100000	0.00272634	5.94204	35.6523
mm_div(CRS,CRS,CRS)	CRS	double	10000	10000	0.000583774	2.77505	33.3006
mm_div(CRS,CRS,CRS)	CRS	double	20000	20000	0.000994085	3.25928	39.1113
mm_div(CRS,CRS,CRS)	CRS	double	30000	30000	0.00140334	3.46316	41.5579
mm_div(CRS,CRS,CRS)	CRS	double	40000	40000	0.00182565	3.54942	42.5931
mm_div(CRS,CRS,CRS)	CRS	double	50000	50000	0.00220903	3.66677	44.0012
mm_div(CRS,CRS,CRS)	CRS	double	60000	60000	0.00262015	3.70972	44.5166
mm_div(CRS,CRS,CRS)	CRS	double	70000	70000	0.00302638	3.74705	44.9646
mm_div(CRS,CRS,CRS)	CRS	double	80000	80000	0.00347649	3.7279	44.7348
mm_div(CRS,CRS,CRS)	CRS	double	90000	90000	0.00387122	3.76625	45.195
mm_div(CRS,CRS,CRS)	CRS	double	100000	100000	0.00426224	3.80082	45.6098
