func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
sm_add(Dense,Dense)	Dense	float	1000	1000	3.64472e-05	27.437	219.496
sm_add(Dense,Dense)	Dense	float	2000	2000	0.000122063	32.7701	262.161
sm_add(Dense,Dense)	Dense	float	3000	3000	0.00579509	1.55304	12.4243
sm_add(Dense,Dense)	Dense	float	4000	4000	0.0130738	1.22382	9.79058
sm_add(Dense,Dense)	Dense	float	5000	5000	0.015804	1.58188	12.655
sm_add(Dense,Dense)	Dense	float	6000	6000	0.0324654	1.10887	8.87097
sm_add(Dense,Dense)	Dense	float	7000	7000	0.0451594	1.08505	8.68037
sm_add(Dense,Dense)	Dense	float	8000	8000	0.0331132	1.93276	15.4621
sm_add(Dense,Dense)	Dense	float	9000	9000	0.052052	1.55613	12.4491
sm_add(Dense,Dense)	Dense	float	10000	10000	0.0869125	1.15058	9.20466
sm_add(Dense,Dense)	Dense	double	1000	1000	6.20325e-05	16.1206	257.929
sm_add(Dense,Dense)	Dense	double	2000	2000	0.00487333	0.820794	13.1327
sm_add(Dense,Dense)	Dense	double	3000	3000	0.00657067	1.36972	21.9156
sm_add(Dense,Dense)	Dense	double	4000	4000	0.0281432	0.56852	9.09632
sm_add(Dense,Dense)	Dense	double	5000	5000	0.0464745	0.53793	8.60687
sm_add(Dense,Dense)	Dense	double	6000	6000	0.0671197	0.536355	8.58169
sm_add(Dense,Dense)	Dense	double	7000	7000	0.0918298	0.533596	8.53754
sm_add(Dense,Dense)	Dense	double	8000	8000	0.0981951	0.651764	10.4282
sm_add(Dense,Dense)	Dense	double	9000	9000	0.085933	0.942595	15.0815
sm_add(Dense,Dense)	Dense	double	10000	10000	0.0859891	1.16294	18.607
