func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	CRS	float	10000	10000	0.000353795	2.28946	18.3157
mscal(CRS)	CRS	float	20000	20000	0.000534679	3.02985	24.2388
mscal(CRS)	CRS	float	30000	30000	0.000735346	3.30457	26.4365
mscal(CRS)	CRS	float	40000	40000	0.000931888	3.47681	27.8145
mscal(CRS)	CRS	float	50000	50000	0.00112653	3.59511	28.7609
mscal(CRS)	CRS	float	60000	60000	0.00140796	3.4518	27.6144
mscal(CRS)	CRS	float	70000	70000	0.00134623	4.21178	33.6942
mscal(CRS)	CRS	float	80000	80000	0.00142547	4.54588	36.367
mscal(CRS)	CRS	float	90000	90000	0.00156592	4.65541	37.2433
mscal(CRS)	CRS	float	100000	100000	0.00174227	4.64912	37.193
mscal(CRS)	CRS	double	10000	10000	0.000416099	1.94665	31.1464
mscal(CRS)	CRS	double	20000	20000	0.000681285	2.37786	38.0457
mscal(CRS)	CRS	double	30000	30000	0.00095313	2.54949	40.7919
mscal(CRS)	CRS	double	40000	40000	0.00125823	2.57505	41.2007
mscal(CRS)	CRS	double	50000	50000	0.00152688	2.65246	42.4394
mscal(CRS)	CRS	double	60000	60000	0.00182278	2.66626	42.6601
mscal(CRS)	CRS	double	70000	70000	0.0020903	2.71254	43.4006
mscal(CRS)	CRS	double	80000	80000	0.00233324	2.77726	44.4361
mscal(CRS)	CRS	double	90000	90000	0.00259371	2.81065	44.9703
mscal(CRS)	CRS	double	100000	100000	0.00285803	2.83412	45.3459
