func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	Dense	float	1000	1000	0.000194482	5.14185	41.1348
mscal(Dense)	Dense	float	2000	2000	0.000557476	7.1752	57.4016
mscal(Dense)	Dense	float	3000	3000	0.00117405	7.6658	61.3264
mscal(Dense)	Dense	float	4000	4000	0.00200647	7.9742	63.7936
mscal(Dense)	Dense	float	5000	5000	0.00276319	9.0475	72.38
mscal(Dense)	Dense	float	6000	6000	0.0035185	10.2316	81.853
mscal(Dense)	Dense	float	7000	7000	0.00498457	9.83034	78.6427
mscal(Dense)	Dense	float	8000	8000	0.00614913	10.408	83.2639
mscal(Dense)	Dense	float	9000	9000	0.00778772	10.401	83.2079
mscal(Dense)	Dense	float	10000	10000	0.0095648	10.455	83.64
mscal(Dense)	Dense	double	1000	1000	0.000279773	3.57433	57.1892
mscal(Dense)	Dense	double	2000	2000	0.000888518	4.50188	72.0301
mscal(Dense)	Dense	double	3000	3000	0.00156705	5.74328	91.8924
mscal(Dense)	Dense	double	4000	4000	0.00269119	5.94533	95.1253
mscal(Dense)	Dense	double	5000	5000	0.0042139	5.93275	94.924
mscal(Dense)	Dense	double	6000	6000	0.00603599	5.96423	95.4276
mscal(Dense)	Dense	double	7000	7000	0.00818174	5.98895	95.8232
mscal(Dense)	Dense	double	8000	8000	0.0106237	6.02426	96.3882
mscal(Dense)	Dense	double	9000	9000	0.0133694	6.05863	96.938
mscal(Dense)	Dense	double	10000	10000	0.016459	6.07569	97.2111
