func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
xpay	vector	float	1000	5.86246e-05	0.051173	0.136461
xpay	vector	float	10000	4.65884e-05	0.643937	1.71716
xpay	vector	float	100000	6.47188e-05	4.63544	12.3612
xpay	vector	float	1000000	0.000264362	11.3481	30.2615
xpay	vector	float	10000000	0.00146005	20.5473	54.7928
xpay	vector	float	100000000	0.0125922	23.8243	63.5316
xpay	vector	double	1000	3.20972e-05	0.093466	0.498485
xpay	vector	double	10000	6.44497e-05	0.465479	2.48256
xpay	vector	double	100000	9.33323e-05	3.21432	17.143
xpay	vector	double	1000000	0.000486134	6.17113	32.9127
xpay	vector	double	10000000	0.00262413	11.4323	60.9725
xpay	vector	double	100000000	0.0242406	12.3759	66.005
