func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sqrt	vector	float	1000	4.41303e-05	0.0226602	0.181281
sqrt	vector	float	10000	4.3146e-05	0.231771	1.85417
sqrt	vector	float	100000	7.25691e-05	1.378	11.024
sqrt	vector	float	1000000	0.000221636	4.5119	36.0952
sqrt	vector	float	10000000	0.0016829	5.94213	47.5371
sqrt	vector	float	100000000	0.0132801	7.53008	60.2406
sqrt	vector	double	1000	5.02246e-05	0.0199105	0.318569
sqrt	vector	double	10000	6.17041e-05	0.162064	2.59302
sqrt	vector	double	100000	7.8418e-05	1.27522	20.4035
sqrt	vector	double	1000000	0.000309721	3.22871	51.6594
sqrt	vector	double	10000000	0.00254346	3.93165	62.9065
sqrt	vector	double	100000000	0.0250179	3.99714	63.9543
