func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vecadd	vector	float	1000	5.02581e-05	0.0198973	0.238768
vecadd	vector	float	10000	6.04776e-05	0.16535	1.98421
vecadd	vector	float	100000	6.93799e-05	1.44134	17.2961
vecadd	vector	float	1000000	0.000188614	5.30184	63.6221
vecadd	vector	float	10000000	0.00133918	7.46726	89.6071
vecadd	vector	float	100000000	0.0125585	7.96276	95.5531
vecadd	vector	double	1000	2.7296e-05	0.0366354	0.879251
vecadd	vector	double	10000	4.15984e-05	0.240394	5.76945
vecadd	vector	double	100000	9.51924e-05	1.0505	25.2121
vecadd	vector	double	1000000	0.000354594	2.82013	67.683
vecadd	vector	double	10000000	0.00254661	3.92679	94.2429
vecadd	vector	double	100000000	0.0242833	4.11805	98.8332
