func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	vector	float	1000	3.21267e-07	6.22536	24.9014
dot	vector	float	10000	2.38857e-06	8.37322	33.4929
dot	vector	float	100000	2.40465e-05	8.31723	33.2689
dot	vector	float	1000000	0.000320086	6.24832	24.9933
dot	vector	float	10000000	0.00327548	6.10598	24.4239
dot	vector	float	100000000	0.034828	5.74251	22.9701
dot	vector	double	1000	2.724e-07	7.34214	58.7372
dot	vector	double	10000	1.38053e-06	14.4872	115.897
dot	vector	double	100000	1.78981e-05	11.1744	89.3951
dot	vector	double	1000000	0.000764255	2.61693	20.9354
dot	vector	double	10000000	0.00722437	2.76841	22.1473
dot	vector	double	100000000	0.0725584	2.7564	22.0512
