func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_asinh(Dense)	Dense	float	1000	1000	0.000321809	3.10743
m_asinh(Dense)	Dense	float	2000	2000	0.00110183	3.63032
m_asinh(Dense)	Dense	float	3000	3000	0.00240356	3.74444
m_asinh(Dense)	Dense	float	4000	4000	0.00386419	4.14058
m_asinh(Dense)	Dense	float	5000	5000	0.00525502	4.75736
m_asinh(Dense)	Dense	float	6000	6000	0.0072179	4.9876
m_asinh(Dense)	Dense	float	7000	7000	0.00968813	5.05773
m_asinh(Dense)	Dense	float	8000	8000	0.0125958	5.08106
m_asinh(Dense)	Dense	float	9000	9000	0.0158819	5.10015
m_asinh(Dense)	Dense	float	10000	10000	0.0195553	5.11371
m_asinh(Dense)	Dense	double	1000	1000	0.00141335	0.70754
m_asinh(Dense)	Dense	double	2000	2000	0.00553515	0.722655
m_asinh(Dense)	Dense	double	3000	3000	0.0125665	0.716191
m_asinh(Dense)	Dense	double	4000	4000	0.0223056	0.717307
m_asinh(Dense)	Dense	double	5000	5000	0.0348018	0.718353
m_asinh(Dense)	Dense	double	6000	6000	0.0500513	0.719262
m_asinh(Dense)	Dense	double	7000	7000	0.0684337	0.716022
m_asinh(Dense)	Dense	double	8000	8000	0.0889824	0.719244
m_asinh(Dense)	Dense	double	9000	9000	0.112645	0.719074
m_asinh(Dense)	Dense	double	10000	10000	0.139146	0.718671
