func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sign(CRS)	CRS	float	10000	10000	8.83241e-05	9.17077
m_sign(CRS)	CRS	float	20000	20000	0.000522667	3.09949
m_sign(CRS)	CRS	float	30000	30000	0.00173675	1.39917
m_sign(CRS)	CRS	float	40000	40000	0.00232916	1.39106
m_sign(CRS)	CRS	float	50000	50000	0.00288597	1.40334
m_sign(CRS)	CRS	float	60000	60000	0.00331245	1.46719
m_sign(CRS)	CRS	float	70000	70000	0.00386255	1.46794
m_sign(CRS)	CRS	float	80000	80000	0.00440577	1.4708
m_sign(CRS)	CRS	float	90000	90000	0.00510729	1.42737
m_sign(CRS)	CRS	float	100000	100000	0.00584398	1.38604
m_sign(CRS)	CRS	double	10000	10000	0.000467129	1.734
m_sign(CRS)	CRS	double	20000	20000	0.00221611	0.731012
m_sign(CRS)	CRS	double	30000	30000	0.00329135	0.738299
m_sign(CRS)	CRS	double	40000	40000	0.00439292	0.73755
m_sign(CRS)	CRS	double	50000	50000	0.00547236	0.740084
m_sign(CRS)	CRS	double	60000	60000	0.00669036	0.726418
m_sign(CRS)	CRS	double	70000	70000	0.00814097	0.696477
m_sign(CRS)	CRS	double	80000	80000	0.00952601	0.680243
m_sign(CRS)	CRS	double	90000	90000	0.0108245	0.673472
m_sign(CRS)	CRS	double	100000	100000	0.0120187	0.67395
