func	kind	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
atanh	vector	float	1000	6.01755e-05	0.0166181	0.132945
atanh	vector	float	10000	6.05201e-05	0.165234	1.32187
atanh	vector	float	100000	7.16207e-05	1.39624	11.17
atanh	vector	float	1000000	0.000217268	4.60262	36.821
atanh	vector	float	10000000	0.00171078	5.84529	46.7623
atanh	vector	float	100000000	0.0124989	8.0007	64.0056
atanh	vector	double	1000	4.29634e-05	0.0232756	0.37241
atanh	vector	double	10000	4.29419e-05	0.232873	3.72596
atanh	vector	double	100000	0.000118382	0.844725	13.5156
atanh	vector	double	1000000	0.000734235	1.36196	21.7914
atanh	vector	double	10000000	0.00640534	1.5612	24.9792
atanh	vector	double	100000000	0.0623925	1.60276	25.6441
