func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	float	1000	1000	0.00146761	0.110384	0.662304
matadd(CRS,CRS,CRS)	float	2000	2000	0.00201968	0.160421	0.962528
matadd(CRS,CRS,CRS)	float	4000	4000	0.00311063	0.208318	1.24991
matadd(CRS,CRS,CRS)	float	8000	8000	0.00519588	0.249428	1.49657
matadd(CRS,CRS,CRS)	float	16000	16000	0.00870504	0.297759	1.78655
matadd(CRS,CRS,CRS)	float	32000	32000	0.0153681	0.337322	2.02393
matadd(CRS,CRS,CRS)	float	64000	64000	0.0284598	0.364303	2.18582
matadd(CRS,CRS,CRS)	double	1000	1000	0.00129746	0.12486	1.49832
matadd(CRS,CRS,CRS)	double	2000	2000	0.00196365	0.164999	1.97999
matadd(CRS,CRS,CRS)	double	4000	4000	0.00304346	0.212916	2.55499
matadd(CRS,CRS,CRS)	double	8000	8000	0.00518407	0.249996	2.99996
matadd(CRS,CRS,CRS)	double	16000	16000	0.00978889	0.26479	3.17748
matadd(CRS,CRS,CRS)	double	32000	32000	0.0183713	0.282179	3.38615
matadd(CRS,CRS,CRS)	double	64000	64000	0.036112	0.287107	3.44529
