func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	0.00175877	0.0921101
mv_mul(CRS)	float	2000	2000	4.29273e-05	7.54764
mv_mul(CRS)	float	4000	4000	7.98848e-05	8.11168
mv_mul(CRS)	float	8000	8000	0.000155475	8.33575
mv_mul(CRS)	float	16000	16000	0.000323423	8.01426
mv_mul(CRS)	float	32000	32000	0.00109677	4.72661
mv_mul(CRS)	float	64000	64000	0.00549084	1.88824
mv_mul(CRS)	double	1000	1000	2.93254e-05	5.52422
mv_mul(CRS)	double	2000	2000	4.92544e-05	6.57809
mv_mul(CRS)	double	4000	4000	8.96134e-05	7.23106
mv_mul(CRS)	double	8000	8000	0.000185629	6.98166
mv_mul(CRS)	double	16000	16000	0.000394304	6.57361
mv_mul(CRS)	double	32000	32000	0.00345356	1.50106
mv_mul(CRS)	double	64000	64000	0.0093499	1.10889
